requested_amount,term_months,annual_revenue,existing_debt,defaulted
545228.77,48,2349503.35,1042988.63,0
641055.6,60,2445567.57,187049.3,0
728830.42,48,1921971.03,465896.08,0
976093.56,60,3228046.79,596201.04,0
521137.34,48,1593065.99,284699.59,0
329726.91,48,885675.04,452406.73,0
797234.33,36,3562423.28,1095374.86,0
278123.93,6,887848.0,121574.36,1
444581.71,48,1962619.67,1393572.77,0
87671.82,12,163794.16,114544.36,0
35097.24,12,69969.39,48276.8,1
963021.93,24,4738666.0,1481287.82,0
837620.32,48,597623.55,27243.24,0
699014.46,48,131734.64,156827.41,1
414863.41,48,1381929.19,305183.12,0
181561.38,60,409137.8,71998.43,0
164872.67,48,662040.24,462890.92,0
257740.47,48,463090.6,365418.56,0
553734.4,12,1941743.32,1268616.5,0
717449.96,6,2509418.12,1465196.85,0
663595.4,6,143773.5,67702.84,0
287134.56,24,959500.28,590981.78,0
955316.63,12,1891258.9,1596914.56,1
740517.95,48,2595246.17,3766637.29,1
558810.51,6,1016837.73,125773.26,0
615603.54,36,1362502.03,1382238.66,1
425404.06,36,684424.1,319687.82,1
255253.68,36,841450.79,224477.89,0
362412.95,48,650844.43,473943.55,1
760267.65,48,2389430.24,1169181.35,0
24249.55,24,115556.57,62538.53,0
124911.91,24,502041.57,2337.79,0
55542.62,24,98362.7,39254.47,0
50321.51,60,25974.56,8959.45,0
856905.98,36,3305787.72,1866770.01,0
706621.28,48,3272685.73,1001804.87,0
479432.09,36,774385.93,604996.77,1
106855.82,24,464136.69,248852.71,1
496699.72,48,1721734.37,908963.26,0
478737.05,12,1633125.1,1201119.28,0
181469.85,6,880554.53,701065.7,0
439513.13,6,1809368.38,286344.4,1
404519.69,24,1810393.91,1173907.41,1
619691.6,36,1697325.68,220407.24,0
638742.71,12,2197450.03,803464.12,0
54850.97,48,200421.05,16063.41,0
380866.49,36,999981.65,498687.63,0
629601.32,24,2201003.38,824968.05,0
508104.9,36,1183017.5,595009.49,0
857924.94,24,1717406.88,931467.57,0
662106.7,60,1859788.8,921610.53,0
171305.08,6,700211.86,164706.14,0
79863.06,6,375887.87,251682.24,1
645995.09,36,2003876.24,884408.69,0
36246.2,12,135919.01,53264.07,0
589917.83,48,1097618.79,1131805.88,0
940827.94,24,4389548.62,995577.39,0
579719.44,48,2023287.37,854685.64,0
394288.23,6,1668306.0,910660.95,1
646855.34,12,2768892.88,277389.76,0
463670.36,12,1111734.0,315056.28,1
550160.62,48,1844199.24,1182778.98,1
942050.16,6,4579945.6,867471.87,1
392241.61,48,711416.81,280748.05,1
961578.66,36,3741189.71,1887446.99,0
906297.14,12,4411785.85,2368819.66,1
203833.22,12,520186.43,303085.77,0
78667.69,36,355189.95,246069.15,1
109770.22,6,523362.61,164486.35,1
28039.61,12,115377.44,65223.51,0
103498.53,60,239045.29,220135.08,0
686176.71,60,1831407.37,439939.4,0
80476.76,60,130801.5,101309.21,0
325785.87,24,1436743.81,994478.63,0
846426.56,24,3786607.0,878072.75,0
33039.22,6,122723.72,66277.55,0
816323.8,36,2231704.76,1281535.27,1
289036.23,48,511258.44,176479.72,0
126983.18,6,525164.55,362885.88,0
699769.79,48,399739.22,220729.39,1
632653.42,6,2969744.0,1563640.74,0
878697.29,24,3564753.71,629793.23,0
737720.33,60,3246288.37,1059179.0,0
805446.12,36,3311061.06,1149395.09,0
289214.23,24,44721.69,26248.45,0
185665.15,36,555952.45,275038.37,1
753108.6,48,3507535.96,240927.29,0
808766.39,6,3055834.84,752219.3,0
990600.09,12,2867038.0,2708797.64,0
418491.5,12,749996.42,442037.66,0
378297.9,36,952352.48,566511.92,0
778648.83,60,2649775.9,1039863.87,0
347395.5,60,856233.96,80097.18,0
931449.75,36,2118418.26,496393.53,0
859828.62,24,2876881.06,586175.75,0
434704.09,12,910431.73,568856.98,0
753362.36,24,3240539.39,466602.19,0
756997.45,48,142499.27,53000.75,0
112092.63,12,393279.2,211023.8,0
903527.38,48,1821367.93,1405784.45,0
510199.85,6,1344895.57,1075099.38,1
828192.89,24,2431006.09,1853247.63,0
326849.11,36,1414846.42,812962.09,0
896568.0,12,3761603.34,2246251.46,0
395309.66,24,901472.51,547525.63,0
20729.27,36,75799.2,52307.81,0
906328.16,6,2131771.97,1623191.66,1
100373.81,12,497740.18,177476.69,0
326120.5,48,1575955.65,525122.14,0
950561.35,6,3299803.88,1215553.94,1
951101.08,60,3753196.09,1981138.58,0
577703.51,36,2487017.27,1542836.87,1
635518.84,12,2557006.54,2203325.71,1
453961.07,12,1792874.04,654342.73,1
300278.66,6,1457834.59,423789.75,0
335377.9,12,1203200.54,946536.32,0
675793.27,36,2518721.63,467248.29,0
754850.78,6,3376025.3,599595.15,0
793663.25,48,3051332.05,1746356.56,0
791721.96,6,3218558.92,462590.07,1
100294.04,6,232641.09,74335.16,0
499476.1,48,1398250.49,327064.01,0
66983.17,60,135008.24,18221.84,0
554033.59,36,1811789.04,840245.78,0
447115.2,60,1383842.07,413504.73,0
888827.14,60,4435309.51,4893936.79,0
357405.86,60,1300682.23,203804.42,0
125896.35,24,535381.39,328881.28,1
151561.77,60,404526.15,101847.41,0
763895.53,24,3369091.46,923719.11,1
622035.88,48,2272171.03,458349.54,0
110111.45,36,433781.1,150748.85,0
93265.74,60,236009.68,87526.86,0
703959.44,12,78708.02,33351.23,1
82035.38,48,305100.19,236164.21,1
823641.46,24,2933671.99,2123255.21,0
709179.8,36,3335398.83,1626053.97,0
90535.29,6,420441.75,13085.31,1
93989.34,36,460401.54,225508.48,0
986773.18,36,3785259.97,271535.19,0
380528.09,60,1865234.33,1059966.77,0
376935.73,60,1663671.05,519168.71,0
814671.57,24,1994244.71,2844523.01,1
947776.09,24,2839560.71,2141095.21,0
986141.05,60,2302021.58,768157.61,0
755844.4,60,1144870.0,421820.75,1
382496.99,12,825493.77,389730.52,0
92665.71,12,140315.53,22128.63,0
779375.45,48,3132648.66,2324006.38,0
562820.21,60,1682477.87,1767129.38,0
429979.79,6,1115372.54,148853.46,0
907290.84,12,3779794.61,2306375.74,0
120085.51,24,530021.86,442550.8,1
497698.85,36,2445467.38,280796.93,0
21240.11,48,79587.7,35838.16,0
473974.04,12,1476595.67,793221.59,1
65740.24,36,168848.88,76936.02,0
127629.74,36,290755.06,152707.03,1
126350.98,12,283688.38,26218.26,1
652718.2,6,1913876.03,728831.61,0
748584.43,6,3721402.03,1062887.93,0
587535.08,48,883058.14,687632.86,0
962550.82,6,2108198.67,83693.69,0
381121.87,48,822985.21,196393.37,0
292854.97,24,1174324.47,884841.46,0
869913.14,12,2378078.55,1871064.94,1
231359.88,36,717311.14,473368.89,0
963590.31,48,1946630.17,118352.38,0
22032.93,6,64280.84,28867.5,0
970180.04,48,1805698.45,578001.17,0
52728.31,60,177465.12,114493.76,0
892231.68,48,1644190.51,72376.26,0
532424.1,6,2271736.15,358259.61,0
993035.15,60,3458846.7,1353640.59,0
83058.6,60,335049.05,42255.76,0
558315.74,6,1655298.61,1802986.34,1
969609.51,60,2749055.82,1805067.92,1
527866.87,12,973244.57,548536.13,0
633104.65,36,2110450.95,743357.75,0
698791.2,12,2306540.35,1620829.28,1
459995.65,12,1443630.64,159014.33,0
631282.5,6,2583090.75,537982.55,1
588471.17,6,327680.18,416319.97,1
902146.43,36,3723847.43,182732.47,0
54991.92,48,110177.97,8433.97,0
288153.56,12,1059600.66,1406324.2,1
950907.37,60,1693690.47,1278920.98,0
891361.15,36,3504099.35,2546537.47,0
461100.19,12,1307881.56,487551.94,1
623931.27,48,1225242.75,139342.98,0
284607.37,60,1285622.15,183183.32,0
196239.95,12,716085.31,216284.15,0
469061.42,24,1285949.42,1605880.37,1
359818.71,36,578424.81,38396.11,0
587819.55,6,1987174.49,1742715.31,0
86957.29,12,64091.53,29812.75,0
974650.86,60,3496393.7,3573243.51,1
986348.64,60,4833874.84,3012271.19,0
701180.1,36,1386638.98,860768.78,1
540735.4,36,417662.19,164058.37,1
316432.34,60,1358582.53,104917.95,0
815657.07,60,2723799.15,2001380.94,0
687883.86,60,1251076.56,669236.41,1
170990.77,12,605324.6,119636.75,1
911817.91,60,3320004.39,1621369.42,0
824311.87,6,3338860.7,1081848.28,0
950301.91,60,3957285.51,2011407.94,0
728462.31,6,3057869.45,1159228.27,1
617281.04,12,2359282.32,916292.69,1
424060.61,36,956400.5,1352099.67,1
933401.2,6,2720701.29,1335811.54,0
867403.25,12,3657366.69,233933.05,0
54766.48,60,264905.16,13854.24,0
36103.3,12,64130.81,15648.39,1
382698.73,60,1291370.32,444485.53,0
812447.8,12,2107349.81,463992.17,0
987403.37,36,2260046.47,1177863.64,1
158912.72,6,519698.21,81117.79,1
598189.41,36,2166230.9,1220265.76,1
387081.95,24,593862.22,367316.01,0
970215.25,60,4104711.98,408235.96,0
843697.73,6,3686611.02,1919415.57,0
839945.42,36,4098335.51,4193569.26,1
474006.23,6,1010701.24,155909.82,0
420671.31,24,96676.91,70326.87,0
280673.0,48,840107.28,407316.24,0
65811.74,60,175842.22,83130.45,0
866075.15,60,3013696.49,125183.36,0
814772.0,12,3453281.43,2067273.16,0
999720.5,60,1580242.94,1339410.89,1
996670.47,60,4876609.34,2813508.62,0
559877.39,36,2426836.44,1571000.15,0
771297.54,60,3184716.82,1334514.5,0
945318.07,60,369898.89,78017.39,0
851150.92,24,2435749.21,275868.07,1
254874.62,24,1052803.44,135182.6,0
456038.69,6,1301395.66,902580.0,0
137867.82,6,640461.36,63317.6,1
954510.52,60,2023827.98,622843.7,0
610112.89,60,1539446.6,411678.37,0
236356.38,12,810627.08,561249.44,0
674983.68,6,1766593.36,675112.13,0
621946.96,36,1856406.17,1479847.42,0
364581.09,60,1175219.64,692960.97,0
122422.02,36,550560.8,374788.13,0
674857.46,60,2248066.87,2000637.07,1
525104.62,36,1453809.62,294369.99,0
774595.21,48,244652.43,26509.79,0
524961.87,36,1538330.38,570563.01,0
853659.69,6,2821410.47,3680972.55,1
556387.77,60,2287533.79,2779750.13,1
565328.59,6,1087506.05,113247.26,0
877887.07,36,1997748.05,982266.74,1
409448.04,24,1158242.13,213406.35,0
142675.08,24,393982.17,151076.43,1
38494.85,24,110523.27,4519.76,0
757585.88,60,3240440.59,1764388.31,0
624106.46,12,1644233.69,1547294.77,1
707038.97,48,2302573.96,1192591.29,0
220834.52,36,813482.52,179230.62,0
145007.76,12,335348.56,74743.29,1
24399.22,24,4787.22,3069.03,0
357081.68,36,79893.01,81492.86,1
594018.51,12,1819914.75,844045.38,0
398321.6,6,1726423.04,867553.1,1
443100.17,24,1042275.02,78415.92,0
905117.11,12,4155497.55,2846254.21,1
354772.91,60,1228816.49,756859.57,0
518849.59,6,1884519.86,890234.42,0
785816.48,24,3585449.86,2634861.43,0
402577.35,48,1755856.98,236883.24,0
625865.83,24,2256538.75,2363458.56,1
863740.07,60,3572564.51,2752251.62,0
950025.42,48,2865863.99,710754.82,0
155602.75,48,531511.32,6502.43,1
927321.75,48,1592439.08,936185.34,1
497195.13,36,902161.91,5037.91,0
265661.94,36,1169706.58,816486.68,1
464544.4,48,793837.07,35755.22,0
980232.25,6,2051525.08,1071330.57,0
497691.91,48,2132816.03,643571.51,0
335464.09,12,504541.62,645310.96,1
637066.85,48,1585286.8,1139197.75,1
247744.16,36,878038.82,524186.26,0
85104.69,36,305021.57,83073.37,0
137590.92,12,580638.52,131992.19,1
136765.38,12,447324.26,263388.92,0
160383.67,24,526524.6,352380.07,0
147438.9,6,44922.87,25726.45,0
644466.0,6,2091411.8,1070784.81,0
190061.28,6,689869.0,888060.28,1
352210.61,60,1635035.35,1115491.73,0
897820.53,36,2608239.14,3778681.26,1
479222.02,6,346889.67,306535.41,0
670882.16,24,1014656.58,415268.71,0
180596.67,24,658634.6,299901.64,1
200366.13,6,321427.68,354097.5,1
50459.93,12,164727.44,97816.41,1
177245.71,24,764783.03,523873.31,0
285804.44,12,978801.25,397223.21,1
185240.38,36,452676.84,226211.33,1
97815.51,60,415871.39,284313.57,0
129429.51,24,316326.95,58791.28,1
466170.98,12,1895269.97,673231.25,0
214270.38,6,779066.66,386823.57,0
370627.16,36,776459.1,568458.91,0
508383.1,48,2373116.33,30064.56,0
693490.88,48,1527242.29,259720.57,0
48919.02,6,36695.79,6882.68,1
801416.29,36,1222630.04,319461.18,0
631621.39,36,1529908.16,344886.12,0
90941.44,36,200026.7,251428.28,0
874842.84,36,450848.53,319424.48,1
921663.68,48,3744984.65,1908377.79,0
70467.18,12,276723.93,351474.62,1
284108.87,36,1214062.08,838919.67,1
808139.27,12,1938277.52,980064.12,0
750777.09,36,2293753.96,401796.19,0
192675.81,24,733497.03,212225.06,0
217255.83,60,660281.69,417279.44,0
376767.38,24,1484704.68,1804319.41,0
489677.76,60,1821066.01,839995.64,0
622072.22,24,1182725.58,136976.18,1
375224.5,36,1588569.55,1020864.73,1
467909.37,12,1882103.33,463061.45,0
749996.23,60,2846550.96,1757114.28,0
46316.37,48,94616.36,49016.3,1
259912.57,6,633663.62,133916.08,0
716216.09,60,2059923.14,349971.43,0
896254.77,60,2222491.06,2476801.28,1
516560.67,48,1186713.43,229696.68,0
536792.35,36,2318272.95,3157207.77,1
116100.29,24,433496.76,213991.77,1
452938.24,24,1575841.19,754869.68,0
537291.09,12,1230844.96,577189.54,1
250045.8,36,1178532.86,605190.59,0
276550.8,48,599877.58,391016.78,1
383511.32,36,1642321.37,2046611.34,0
29870.49,36,145868.19,26883.57,0
328858.37,24,1330174.41,625474.07,0
219333.53,48,1091185.56,946329.63,0
334222.38,6,1262919.06,1423173.93,0
128564.51,60,66198.88,34653.22,1
891622.01,24,1973487.83,768208.65,1
597656.53,48,1575407.67,955745.75,1
682311.3,12,1040494.08,354331.92,0
791279.53,60,3074868.45,3399864.46,0
503457.78,60,1228606.77,857128.82,0
96051.09,24,418123.97,27726.13,0
541735.48,12,1493621.21,225793.28,0
590972.71,24,1879203.23,1629568.62,1
747985.08,36,3650100.78,2906299.62,0
437342.95,48,1026707.37,342394.44,0
136304.5,12,548542.38,220166.71,0
290938.15,60,1205331.23,742191.63,0
369451.47,24,839945.53,427643.54,0
649458.07,60,2113004.64,1422340.66,0
575070.52,12,64984.65,25288.57,0
362535.76,60,1523256.3,1184700.63,1
986650.1,24,3629581.45,2313676.29,1
609717.07,24,1930328.08,619813.5,0
244854.52,6,1035188.94,315750.7,0
110764.65,60,55607.33,41349.22,1
161330.55,6,667533.64,365496.37,1
253498.15,6,1148044.98,570747.01,0
169074.56,60,773545.8,468973.37,1
194701.35,12,826090.1,370639.42,0
292244.22,36,855705.57,108959.92,0
181639.86,24,896633.94,228975.53,0
897797.77,48,2539490.8,1133516.68,1
89431.41,6,334043.21,353886.92,1
529266.28,12,1092278.38,382166.98,0
416292.86,60,315387.61,190696.69,1
982554.83,12,3894798.93,511726.74,0
120918.51,12,500218.28,25834.85,1
403877.04,60,698795.51,467370.73,1
969775.73,48,4045867.83,1997926.79,0
866852.05,60,3650775.15,5139746.78,1
818901.35,48,3153756.6,2034311.72,0
265323.8,60,669062.69,352263.9,0
179178.71,6,575865.17,153926.12,0
671956.79,48,1267660.12,381511.21,1
930082.23,6,2930274.97,365436.15,0
561195.26,48,1320707.66,882502.77,1
575896.56,48,1567497.98,638293.52,1
287179.3,60,594203.1,264785.97,0
771798.0,48,1779141.25,1257485.53,0
195173.31,6,345064.51,4370.07,0
330442.44,60,1559574.24,83497.19,0
431182.07,24,1447235.63,1913151.64,1
512534.27,6,1480504.9,35576.9,1
249985.64,24,843102.13,443914.29,1
123688.46,12,457526.87,385125.24,1
614513.84,60,2904546.23,489827.1,0
295744.25,12,628582.32,75131.4,1
585425.84,60,258667.24,30147.09,0
162819.09,60,800298.6,718686.73,1
486328.7,6,1361319.36,755264.91,0
